medal_type,medal_code,medal_date,athlete_short_name,athlete_name,athlete_sex,country_code,discipline_code,event,country,discipline
Gold Medal,1,2021-08-05,DOCKIER S,DOCKIER Sebastien,M,BEL,HOC,Men,Belgium,Hockey
Gold Medal,1,2021-08-05,GOUGNARD SPF,GOUGNARD Simon Pierre F,M,BEL,HOC,Men,Belgium,Hockey
Gold Medal,1,2021-08-05,KINA AST,KINA Antoine Sylvain T,M,BEL,HOC,Men,Belgium,Hockey
Gold Medal,1,2021-08-05,MEURMANS AJJ,MEURMANS Augustin Jean J,M,BEL,HOC,Men,Belgium,Hockey
Gold Medal,1,2021-08-05,WEGNEZ VNB,WEGNEZ Victor Nicky B,M,BEL,HOC,Men,Belgium,Hockey
Gold Medal,1,2021-08-05,van DOREN A,van DOREN Arthur,M,BEL,HOC,Men,Belgium,Hockey
Gold Medal,1,2021-08-05,DOHMEN JJDM,DOHMEN John-John Dominique M,M,BEL,HOC,Men,Belgium,Hockey
Silver Medal,2,2021-08-05,CHARTER AL,CHARTER Andrew Lewis,M,AUS,HOC,Men,Australia,Hockey
Silver Medal,2,2021-08-05,MITTON TG,MITTON Trent Grant,M,AUS,HOC,Men,Australia,Hockey
Silver Medal,2,2021-08-05,OCKENDEN EC,OCKENDEN Edward Clive,M,AUS,HOC,Men,Australia,Hockey
Silver Medal,2,2021-08-05,WHETTON JT,WHETTON Jacob Thomas,M,AUS,HOC,Men,Australia,Hockey
Silver Medal,2,2021-08-05,ZALEWSKI A,ZALEWSKI Aran,M,AUS,HOC,Men,Australia,Hockey
Silver Medal,2,2021-08-05,BEALE DJ,BEALE Daniel James,M,AUS,HOC,Men,Australia,Hockey
Silver Medal,2,2021-08-05,WICKHAM TJ,WICKHAM Tom Joseph,M,AUS,HOC,Men,Australia,Hockey
Silver Medal,2,2021-08-05,DAWSON M,DAWSON Matthew,M,AUS,HOC,Men,Australia,Hockey
Silver Medal,2,2021-08-05,BRAND T,BRAND Tim,M,AUS,HOC,Men,Australia,Hockey
Silver Medal,2,2021-08-05,GOVERS B,GOVERS Blake,M,AUS,HOC,Men,Australia,Hockey
Silver Medal,2,2021-08-05,OGILVIE FA,OGILVIE Flynn Andrew,M,AUS,HOC,Men,Australia,Hockey
Silver Medal,2,2021-08-05,CRAIG TW,CRAIG Thomas William,M,AUS,HOC,Men,Australia,Hockey
Silver Medal,2,2021-08-05,HOWARD T,HOWARD Tim,M,AUS,HOC,Men,Australia,Hockey
Silver Medal,2,2021-08-05,BELTZ J,BELTZ Joshua,M,AUS,HOC,Men,Australia,Hockey
Silver Medal,2,2021-08-05,HAYWARD JT,HAYWARD Jeremy Thomas,M,AUS,HOC,Men,Australia,Hockey
Silver Medal,2,2021-08-05,SHARP LT,SHARP Lachlan Thomas,M,AUS,HOC,Men,Australia,Hockey
Silver Medal,2,2021-08-05,SIMMONDS J,SIMMONDS Joshua,M,AUS,HOC,Men,Australia,Hockey
Silver Medal,2,2021-08-05,MARTIN D,MARTIN Dylan,M,AUS,HOC,Men,Australia,Hockey
Bronze Medal,3,2021-08-05,PARATTU RAVEENDRAN,PARATTU RAVEENDRAN Sreejesh,M,IND,HOC,Men,India,Hockey
Bronze Medal,3,2021-08-05,SINGH H,SINGH Harmanpreet,M,IND,HOC,Men,India,Hockey
Bronze Medal,3,2021-08-05,LAKRA B,LAKRA Birendra,M,IND,HOC,Men,India,Hockey
Bronze Medal,3,2021-08-05,KUMAR S,KUMAR Surender,M,IND,HOC,Men,India,Hockey
Bronze Medal,3,2021-08-05,ROHIDAS A,ROHIDAS Amit,M,IND,HOC,Men,India,Hockey
Bronze Medal,3,2021-08-05,KUMAR V,KUMAR Varun,M,IND,HOC,Men,India,Hockey
Bronze Medal,3,2021-08-05,SINGH RP,SINGH Rupinder Pal,M,IND,HOC,Men,India,Hockey
Bronze Medal,3,2021-08-05,SINGH M,SINGH Manpreet,M,IND,HOC,Men,India,Hockey
Bronze Medal,3,2021-08-05,SUMIT,SUMIT,M,IND,HOC,Men,India,Hockey
Bronze Medal,3,2021-08-05,SHARMA N,SHARMA Nilakanta,M,IND,HOC,Men,India,Hockey
Bronze Medal,3,2021-08-05,SINGH H,SINGH Hardik,M,IND,HOC,Men,India,Hockey
Bronze Medal,3,2021-08-05,PRASAD VS,PRASAD Vivek Sagar,M,IND,HOC,Men,India,Hockey
Bronze Medal,3,2021-08-05,SINGH M,SINGH Mandeep,M,IND,HOC,Men,India,Hockey
Bronze Medal,3,2021-08-05,SINGH S,SINGH Shamsher,M,IND,HOC,Men,India,Hockey
Bronze Medal,3,2021-08-05,UPADHYAY LK,UPADHYAY Lalit Kumar,M,IND,HOC,Men,India,Hockey
Bronze Medal,3,2021-08-05,SINGH S,SINGH Simranjeet,M,IND,HOC,Men,India,Hockey
Bronze Medal,3,2021-08-05,SINGH D,SINGH Dilpreet,M,IND,HOC,Men,India,Hockey
Bronze Medal,3,2021-08-05,SINGH G,SINGH Gurjant,M,IND,HOC,Men,India,Hockey
Gold Medal,1,2021-08-05,da COSTA S,da COSTA Steven,M,FRA,KTE,Men's Kumite -67kg,France,Karate
Silver Medal,2,2021-08-05,SAMDAN E,SAMDAN Eray,M,TUR,KTE,Men's Kumite -67kg,Turkey,Karate
Bronze Medal,3,2021-08-05,ALMASATFA AR,ALMASATFA Abdel Rahman,M,JOR,KTE,Men's Kumite -67kg,Jordan,Karate
Bronze Medal,3,2021-08-05,ASSADILOV D,ASSADILOV Darkhan,M,KAZ,KTE,Men's Kumite -67kg,Kazakhstan,Karate
Gold Medal,1,2021-08-05,SANCHEZ JAIME S,SANCHEZ JAIME Sandra,W,ESP,KTE,Women's Kata,Spain,Karate
Silver Medal,2,2021-08-05,SHIMIZU K,SHIMIZU Kiyou,W,JPN,KTE,Women's Kata,Japan,Karate
Bronze Medal,3,2021-08-05,LAU MSG,LAU Mo Sheung Grace,W,HKG,KTE,Women's Kata,"Hong Kong, China",Karate
Bronze Medal,3,2021-08-05,BOTTARO V,BOTTARO Viviana,W,ITA,KTE,Women's Kata,Italy,Karate
Gold Medal,1,2021-08-05,GORANOVA I,GORANOVA Ivet,W,BUL,KTE,Women's Kumite -55kg,Bulgaria,Karate
Silver Medal,2,2021-08-05,TERLIUGA A,TERLIUGA Anzhelika,W,UKR,KTE,Women's Kumite -55kg,Ukraine,Karate
Bronze Medal,3,2021-08-05,PLANK B,PLANK Bettina,W,AUT,KTE,Women's Kumite -55kg,Austria,Karate
Bronze Medal,3,2021-08-05,WEN T,WEN Tzuyun,W,TPE,KTE,Women's Kumite -55kg,Chinese Taipei,Karate
Gold Medal,1,2021-08-05,WELLBROCK F,WELLBROCK Florian,M,GER,OWS,Men's 10km,Germany,Marathon Swimming
Silver Medal,2,2021-08-05,RASOVSZKY K,RASOVSZKY Kristof,M,HUN,OWS,Men's 10km,Hungary,Marathon Swimming
Bronze Medal,3,2021-08-05,PALTRINIERI G,PALTRINIERI Gregorio,M,ITA,OWS,Men's 10km,Italy,Marathon Swimming
Gold Medal,1,2021-08-05,PALMER K,PALMER Keegan,M,AUS,SKB,Men's Park,Australia,Skateboarding
Silver Medal,2,2021-08-05,BARROS P,BARROS Pedro,M,BRA,SKB,Men's Park,Brazil,Skateboarding
Bronze Medal,3,2021-08-05,JUNEAU C,JUNEAU Cory,M,USA,SKB,Men's Park,United States of America,Skateboarding
Gold Medal,1,2021-08-05,GINES LOPEZ A,GINES LOPEZ Alberto,M,ESP,CLB,Men's Combined,Spain,Sport Climbing
Silver Medal,2,2021-08-05,COLEMAN N,COLEMAN Nathaniel,M,USA,CLB,Men's Combined,United States of America,Sport Climbing
Bronze Medal,3,2021-08-05,SCHUBERT J,SCHUBERT Jakob,M,AUT,CLB,Men's Combined,Austria,Sport Climbing
Gold Medal,1,2021-08-05,CHEN M,CHEN Meng,W,CHN,TTE,Women's Team,People's Republic of China,Table Tennis
Gold Medal,1,2021-08-05,SUN Y,SUN Yingsha,W,CHN,TTE,Women's Team,People's Republic of China,Table Tennis
Gold Medal,1,2021-08-05,WANG M,WANG Manyu,W,CHN,TTE,Women's Team,People's Republic of China,Table Tennis
Silver Medal,2,2021-08-05,ISHIKAWA K,ISHIKAWA Kasumi,W,JPN,TTE,Women's Team,Japan,Table Tennis
Silver Medal,2,2021-08-05,HIRANO M,HIRANO Miu,W,JPN,TTE,Women's Team,Japan,Table Tennis
Silver Medal,2,2021-08-05,ITO M,ITO Mima,W,JPN,TTE,Women's Team,Japan,Table Tennis
Bronze Medal,3,2021-08-05,DOO HK,DOO Hoi Kem,W,HKG,TTE,Women's Team,"Hong Kong, China",Table Tennis
Bronze Medal,3,2021-08-05,LEE HC,LEE Ho Ching,W,HKG,TTE,Women's Team,"Hong Kong, China",Table Tennis
Bronze Medal,3,2021-08-05,SOO WYM,SOO Wai Yam Minnie,W,HKG,TTE,Women's Team,"Hong Kong, China",Table Tennis
Gold Medal,1,2021-08-05,UGUEV Z,UGUEV Zavur,M,ROC,WRE,Men's Freestyle 57kg,ROC,Wrestling
Silver Medal,2,2021-08-05,RAVI K,RAVI Kumar,M,IND,WRE,Men's Freestyle 57kg,India,Wrestling
Bronze Medal,3,2021-08-05,SANAYEV N,SANAYEV Nurislam,M,KAZ,WRE,Men's Freestyle 57kg,Kazakhstan,Wrestling
Bronze Medal,3,2021-08-05,GILMAN TP,GILMAN Thomas Patrick,M,USA,WRE,Men's Freestyle 57kg,United States of America,Wrestling
Gold Medal,1,2021-08-05,TAYLOR III DM,TAYLOR III David Morris,M,USA,WRE,Men's Freestyle 86kg,United States of America,Wrestling
Silver Medal,2,2021-08-05,YAZDANICHARATI H,YAZDANICHARATI Hassan,M,IRI,WRE,Men's Freestyle 86kg,Islamic Republic of Iran,Wrestling
Bronze Medal,3,2021-08-05,AMINE MN,AMINE Myles Nazem,M,SMR,WRE,Men's Freestyle 86kg,San Marino,Wrestling
Bronze Medal,3,2021-08-05,NAIFONOV A,NAIFONOV Artur,M,ROC,WRE,Men's Freestyle 86kg,ROC,Wrestling
Gold Medal,1,2021-08-05,KAWAI R,KAWAI Risako,W,JPN,WRE,Women's Freestyle 57kg,Japan,Wrestling
Silver Medal,2,2021-08-05,KURACHKINA I,KURACHKINA Iryna,W,BLR,WRE,Women's Freestyle 57kg,Belarus,Wrestling
Bronze Medal,3,2021-08-05,NIKOLOVA EG,NIKOLOVA Evelina Georgieva,W,BUL,WRE,Women's Freestyle 57kg,Bulgaria,Wrestling
Bronze Medal,3,2021-08-05,MAROULIS HL,MAROULIS Helen Louise,W,USA,WRE,Women's Freestyle 57kg,United States of America,Wrestling
Gold Medal,1,2021-08-06,JACOBS LM,JACOBS Lamont Marcell,M,ITA,ATH,Men's 4 x 100m Relay,Italy,Athletics
Gold Medal,1,2021-08-06,TORTU F,TORTU Filippo,M,ITA,ATH,Men's 4 x 100m Relay,Italy,Athletics
Gold Medal,1,2021-08-06,DESALU EF,DESALU Eseosa Fostine,M,ITA,ATH,Men's 4 x 100m Relay,Italy,Athletics
Gold Medal,1,2021-08-06,PATTA L,PATTA Lorenzo,M,ITA,ATH,Men's 4 x 100m Relay,Italy,Athletics
Silver Medal,2,2021-08-06,MITCHELL-BLAKE N,MITCHELL-BLAKE Nethaneel,M,GBR,ATH,Men's 4 x 100m Relay,Great Britain,Athletics
Silver Medal,2,2021-08-06,KILTY R,KILTY Richard,M,GBR,ATH,Men's 4 x 100m Relay,Great Britain,Athletics
Silver Medal,2,2021-08-06,UJAH C,UJAH Chijindu,M,GBR,ATH,Men's 4 x 100m Relay,Great Britain,Athletics
Silver Medal,2,2021-08-06,HUGHES Z,HUGHES Zharnel,M,GBR,ATH,Men's 4 x 100m Relay,Great Britain,Athletics
Bronze Medal,3,2021-08-06,RODNEY B,RODNEY Brendon,M,CAN,ATH,Men's 4 x 100m Relay,Canada,Athletics
Bronze Medal,3,2021-08-06,de GRASSE A,de GRASSE Andre,M,CAN,ATH,Men's 4 x 100m Relay,Canada,Athletics
Bronze Medal,3,2021-08-06,BLAKE J,BLAKE Jerome,M,CAN,ATH,Men's 4 x 100m Relay,Canada,Athletics
Bronze Medal,3,2021-08-06,BROWN A,BROWN Aaron,M,CAN,ATH,Men's 4 x 100m Relay,Canada,Athletics
Gold Medal,1,2021-08-06,CHEPTEGEI J,CHEPTEGEI Joshua,M,UGA,ATH,Men's 5000m,Uganda,Athletics
Silver Medal,2,2021-08-06,AHMED M,AHMED Mohammed,M,CAN,ATH,Men's 5000m,Canada,Athletics
Bronze Medal,3,2021-08-06,CHELIMO P,CHELIMO Paul,M,USA,ATH,Men's 5000m,United States of America,Athletics
Gold Medal,1,2021-08-06,TOMALA D,TOMALA Dawid,M,POL,ATH,Men's 50km Race Walk,Poland,Athletics
Silver Medal,2,2021-08-06,HILBERT J,HILBERT Jonathan,M,GER,ATH,Men's 50km Race Walk,Germany,Athletics
Bronze Medal,3,2021-08-06,DUNFEE E,DUNFEE Evan,M,CAN,ATH,Men's 50km Race Walk,Canada,Athletics
Gold Medal,1,2021-08-06,KIPYEGON F,KIPYEGON Faith,W,KEN,ATH,Women's 1500m,Kenya,Athletics
Silver Medal,2,2021-08-06,MUIR L,MUIR Laura,W,GBR,ATH,Women's 1500m,Great Britain,Athletics
Bronze Medal,3,2021-08-06,HASSAN S,HASSAN Sifan,W,NED,ATH,Women's 1500m,Netherlands,Athletics
Gold Medal,1,2021-08-06,PALMISANO A,PALMISANO Antonella,W,ITA,ATH,Women's 20km Race Walk,Italy,Athletics
Silver Medal,2,2021-08-06,ARENAS SL,ARENAS Sandra Lorena,W,COL,ATH,Women's 20km Race Walk,Colombia,Athletics
Bronze Medal,3,2021-08-06,LIU H,LIU Hong,W,CHN,ATH,Women's 20km Race Walk,People's Republic of China,Athletics
Gold Medal,1,2021-08-06,MORRISON N,MORRISON Natasha,W,JAM,ATH,Women's 4 x 100m Relay,Jamaica,Athletics
Gold Medal,1,2021-08-06,BURCHELL R,BURCHELL Remona,W,JAM,ATH,Women's 4 x 100m Relay,Jamaica,Athletics
Gold Medal,1,2021-08-06,THOMPSON-HERAH E,THOMPSON-HERAH Elaine,W,JAM,ATH,Women's 4 x 100m Relay,Jamaica,Athletics
Gold Medal,1,2021-08-06,WILLIAMS B,WILLIAMS Briana,W,JAM,ATH,Women's 4 x 100m Relay,Jamaica,Athletics
Gold Medal,1,2021-08-06,JACKSON S,JACKSON Shericka,W,JAM,ATH,Women's 4 x 100m Relay,Jamaica,Athletics
Gold Medal,1,2021-08-06,FRASER-PRYCE SA,FRASER-PRYCE Shelly-Ann,W,JAM,ATH,Women's 4 x 100m Relay,Jamaica,Athletics
Silver Medal,2,2021-08-06,DANIELS T,DANIELS Teahna,W,USA,ATH,Women's 4 x 100m Relay,United States of America,Athletics
Silver Medal,2,2021-08-06,THOMAS G,THOMAS Gabrielle,W,USA,ATH,Women's 4 x 100m Relay,United States of America,Athletics
Silver Medal,2,2021-08-06,GARDNER E,GARDNER English,W,USA,ATH,Women's 4 x 100m Relay,United States of America,Athletics
Silver Medal,2,2021-08-06,OLIVER J,OLIVER Javianne,W,USA,ATH,Women's 4 x 100m Relay,United States of America,Athletics
Silver Medal,2,2021-08-06,PRANDINI J,PRANDINI Jenna,W,USA,ATH,Women's 4 x 100m Relay,United States of America,Athletics
Silver Medal,2,2021-08-06,HOBBS A,HOBBS Aleia,W,USA,ATH,Women's 4 x 100m Relay,United States of America,Athletics
Bronze Medal,3,2021-08-06,LANSIQUOT I,LANSIQUOT Imani,W,GBR,ATH,Women's 4 x 100m Relay,Great Britain,Athletics
Bronze Medal,3,2021-08-06,NEITA D,NEITA Daryll,W,GBR,ATH,Women's 4 x 100m Relay,Great Britain,Athletics
Bronze Medal,3,2021-08-06,PHILIP A,PHILIP Asha,W,GBR,ATH,Women's 4 x 100m Relay,Great Britain,Athletics
Bronze Medal,3,2021-08-06,ASHER-SMITH D,ASHER-SMITH Dina,W,GBR,ATH,Women's 4 x 100m Relay,Great Britain,Athletics
Gold Medal,1,2021-08-06,MILLER-UIBO S,MILLER-UIBO Shaunae,W,BAH,ATH,Women's 400m,Bahamas,Athletics
Silver Medal,2,2021-08-06,PAULINO M,PAULINO Marileidy,W,DOM,ATH,Women's 400m,Dominican Republic,Athletics
Bronze Medal,3,2021-08-06,FELIX A,FELIX Allyson,W,USA,ATH,Women's 400m,United States of America,Athletics
Gold Medal,1,2021-08-06,LIU S,LIU Shiying,W,CHN,ATH,Women's Javelin Throw,People's Republic of China,Athletics
Silver Medal,2,2021-08-06,ANDREJCZYK M,ANDREJCZYK Maria,W,POL,ATH,Women's Javelin Throw,Poland,Athletics
Bronze Medal,3,2021-08-06,BARBER KL,BARBER Kelsey-Lee,W,AUS,ATH,Women's Javelin Throw,Australia,Athletics
Gold Medal,1,2021-08-06,KLINEMAN A,KLINEMAN Alix,W,USA,VBV,Women,United States of America,Beach Volleyball
Gold Medal,1,2021-08-06,ROSS A,ROSS April,W,USA,VBV,Women,United States of America,Beach Volleyball
Silver Medal,2,2021-08-06,CLANCY T,CLANCY Taliqua,W,AUS,VBV,Women,Australia,Beach Volleyball
Silver Medal,2,2021-08-06,ARTACHO del SOLAR,ARTACHO del SOLAR Mariafe,W,AUS,VBV,Women,Australia,Beach Volleyball
Bronze Medal,3,2021-08-06,HEIDRICH J,HEIDRICH Joana,W,SUI,VBV,Women,Switzerland,Beach Volleyball
Bronze Medal,3,2021-08-06,VERGE-DEPRE A,VERGE-DEPRE Anouk,W,SUI,VBV,Women,Switzerland,Beach Volleyball
Gold Medal,1,2021-08-06,la CRUZ J,la CRUZ Julio,M,CUB,BOX,Men's Heavy (81-91kg),Cuba,Boxing
Silver Medal,2,2021-08-06,GADZHIMAGOMEDOV M,GADZHIMAGOMEDOV Muslim,M,ROC,BOX,Men's Heavy (81-91kg),ROC,Boxing
Bronze Medal,3,2021-08-06,GARSIDE H,GARSIDE Harry,M,AUS,BOX,Men's Light (57-63kg),Australia,Boxing
Bronze Medal,3,2021-08-06,BACHKOV H,BACHKOV Hovhannes,M,ARM,BOX,Men's Light (57-63kg),Armenia,Boxing
Bronze Medal,3,2021-08-06,FONTIJN N,FONTIJN Nouchka,W,NED,BOX,Women's Middle (69-75kg),Netherlands,Boxing
Bronze Medal,3,2021-08-06,MAGOMEDALIEVA Z,MAGOMEDALIEVA Zenfira,W,ROC,BOX,Women's Middle (69-75kg),ROC,Boxing
Gold Medal,1,2021-08-06,LAVREYSEN H,LAVREYSEN Harrie,M,NED,CTR,Men's Sprint,Netherlands,Cycling Track
Silver Medal,2,2021-08-06,HOOGLAND J,HOOGLAND Jeffrey,M,NED,CTR,Men's Sprint,Netherlands,Cycling Track
Bronze Medal,3,2021-08-06,CARLIN J,CARLIN Jack,M,GBR,CTR,Men's Sprint,Great Britain,Cycling Track
Gold Medal,1,2021-08-06,ARCHIBALD K,ARCHIBALD Katie,W,GBR,CTR,Women's Madison,Great Britain,Cycling Track
Gold Medal,1,2021-08-06,KENNY L,KENNY Laura,W,GBR,CTR,Women's Madison,Great Britain,Cycling Track
Silver Medal,2,2021-08-06,DIDERIKSEN A,DIDERIKSEN Amalie,W,DEN,CTR,Women's Madison,Denmark,Cycling Track
Silver Medal,2,2021-08-06,LETH J,LETH Julie,W,DEN,CTR,Women's Madison,Denmark,Cycling Track
Bronze Medal,3,2021-08-06,NOVOLODSKAIA M,NOVOLODSKAIA Mariia,W,ROC,CTR,Women's Madison,ROC,Cycling Track
Bronze Medal,3,2021-08-06,KHATUNTSEVA G,KHATUNTSEVA Gulnaz,W,ROC,CTR,Women's Madison,ROC,Cycling Track
Gold Medal,1,2021-08-06,BECKIE J,BECKIE Janine,W,CAN,FBL,Women,Canada,Football
Gold Medal,1,2021-08-06,BUCHANAN K,BUCHANAN Kadeisha,W,CAN,FBL,Women,Canada,Football
Gold Medal,1,2021-08-06,CARLE G,CARLE Gabrielle,W,CAN,FBL,Women,Canada,Football
Gold Medal,1,2021-08-06,CHAPMAN A,CHAPMAN Allysha,W,CAN,FBL,Women,Canada,Football
Gold Medal,1,2021-08-06,FLEMING J,FLEMING Jessie,W,CAN,FBL,Women,Canada,Football
Gold Medal,1,2021-08-06,GILLES V,GILLES Vanessa,W,CAN,FBL,Women,Canada,Football
Gold Medal,1,2021-08-06,GROSSO J,GROSSO Julia,W,CAN,FBL,Women,Canada,Football
Gold Medal,1,2021-08-06,HUITEMA J,HUITEMA Jordyn,W,CAN,FBL,Women,Canada,Football
Gold Medal,1,2021-08-06,LABBE S,LABBE Stephanie,W,CAN,FBL,Women,Canada,Football
Gold Medal,1,2021-08-06,LAWRENCE A,LAWRENCE Ashley,W,CAN,FBL,Women,Canada,Football
Gold Medal,1,2021-08-06,LEON A,LEON Adriana,W,CAN,FBL,Women,Canada,Football
Gold Medal,1,2021-08-06,McLEOD E,McLEOD Erin,W,CAN,FBL,Women,Canada,Football
Gold Medal,1,2021-08-06,PRINCE N,PRINCE Nichelle,W,CAN,FBL,Women,Canada,Football
Gold Medal,1,2021-08-06,QUINN,QUINN,W,CAN,FBL,Women,Canada,Football
Gold Medal,1,2021-08-06,RIVIERE J,RIVIERE Jayde,W,CAN,FBL,Women,Canada,Football
Gold Medal,1,2021-08-06,ROSE D,ROSE Deanne,W,CAN,FBL,Women,Canada,Football
Gold Medal,1,2021-08-06,SCHMIDT S,SCHMIDT Sophie,W,CAN,FBL,Women,Canada,Football
Gold Medal,1,2021-08-06,SCOTT D,SCOTT Desiree,W,CAN,FBL,Women,Canada,Football
Gold Medal,1,2021-08-06,SHERIDAN K,SHERIDAN Kailen,W,CAN,FBL,Women,Canada,Football
Gold Medal,1,2021-08-06,SINCLAIR C,SINCLAIR Christine,W,CAN,FBL,Women,Canada,Football
Gold Medal,1,2021-08-06,VIENS E,VIENS Evelyne,W,CAN,FBL,Women,Canada,Football
Gold Medal,1,2021-08-06,ZADORSKY S,ZADORSKY Shelina,W,CAN,FBL,Women,Canada,Football
Silver Medal,2,2021-08-06,ILESTEDT A,ILESTEDT Amanda,W,SWE,FBL,Women,Sweden,Football
Silver Medal,2,2021-08-06,ANVEGARD A,ANVEGARD Anna,W,SWE,FBL,Women,Sweden,Football
Silver Medal,2,2021-08-06,SEGER C,SEGER Caroline,W,SWE,FBL,Women,Sweden,Football
Silver Medal,2,2021-08-06,KULLBERG E,KULLBERG Emma,W,SWE,FBL,Women,Sweden,Football
Silver Medal,2,2021-08-06,ANGELDAL F,ANGELDAL Filippa,W,SWE,FBL,Women,Sweden,Football
Silver Medal,2,2021-08-06,ROLFO F,ROLFO Fridolina,W,SWE,FBL,Women,Sweden,Football
Silver Medal,2,2021-08-06,BENNISON H,BENNISON Hanna,W,SWE,FBL,Women,Sweden,Football
Silver Medal,2,2021-08-06,GLAS H,GLAS Hanna,W,SWE,FBL,Women,Sweden,Football
Silver Medal,2,2021-08-06,LINDAHL H,LINDAHL Hedvig,W,SWE,FBL,Women,Sweden,Football
Silver Medal,2,2021-08-06,FALK J,FALK Jennifer,W,SWE,FBL,Women,Sweden,Football
Silver Medal,2,2021-08-06,ANDERSSON J,ANDERSSON Jonna,W,SWE,FBL,Women,Sweden,Football
Silver Medal,2,2021-08-06,RODDAR J,RODDAR Julia,W,SWE,FBL,Women,Sweden,Football
Silver Medal,2,2021-08-06,ASLLANI K,ASLLANI Kosovare,W,SWE,FBL,Women,Sweden,Football
Silver Medal,2,2021-08-06,HURTIG L,HURTIG Lina,W,SWE,FBL,Women,Sweden,Football
Silver Medal,2,2021-08-06,JANOGY M,JANOGY Madelen,W,SWE,FBL,Women,Sweden,Football
Silver Medal,2,2021-08-06,ERIKSSON M,ERIKSSON Magdalena,W,SWE,FBL,Women,Sweden,Football
Silver Medal,2,2021-08-06,BJORN N,BJORN Nathalie,W,SWE,FBL,Women,Sweden,Football
Silver Medal,2,2021-08-06,SCHOUGH O,SCHOUGH Olivia,W,SWE,FBL,Women,Sweden,Football
Silver Medal,2,2021-08-06,BLOMQVIST R,BLOMQVIST Rebecka,W,SWE,FBL,Women,Sweden,Football
Silver Medal,2,2021-08-06,JAKOBSSON S,JAKOBSSON Sofia,W,SWE,FBL,Women,Sweden,Football
Silver Medal,2,2021-08-06,BLACKSTENIUS S,BLACKSTENIUS Stina,W,SWE,FBL,Women,Sweden,Football
Silver Medal,2,2021-08-06,MUSOVIC Z,MUSOVIC Zecira,W,SWE,FBL,Women,Sweden,Football
Bronze Medal,3,2021-08-06,MORGAN A,MORGAN Alex,W,USA,FBL,Women,United States of America,Football
Bronze Medal,3,2021-08-06,DAHLKEMPER A,DAHLKEMPER Abby,W,USA,FBL,Women,United States of America,Football
Bronze Medal,3,2021-08-06,FRANCH A,FRANCH Adrianna,W,USA,FBL,Women,United States of America,Football
Bronze Medal,3,2021-08-06,NAEHER A,NAEHER Alyssa,W,USA,FBL,Women,United States of America,Football
Bronze Medal,3,2021-08-06,CAMPBELL J,CAMPBELL Jane,W,USA,FBL,Women,United States of America,Football
Bronze Medal,3,2021-08-06,LLOYD C,LLOYD Carli,W,USA,FBL,Women,United States of America,Football
Bronze Medal,3,2021-08-06,MACARIO C,MACARIO Catarina,W,USA,FBL,Women,United States of America,Football
Bronze Medal,3,2021-08-06,PRESS C,PRESS Christen,W,USA,FBL,Women,United States of America,Football
Bronze Medal,3,2021-08-06,KRUEGER C,KRUEGER Casey,W,USA,FBL,Women,United States of America,Football
Bronze Medal,3,2021-08-06,DUNN C,DUNN Crystal,W,USA,FBL,Women,United States of America,Football
Bronze Medal,3,2021-08-06,SONNETT E,SONNETT Emily,W,USA,FBL,Women,United States of America,Football
Bronze Medal,3,2021-08-06,ERTZ J,ERTZ Julie,W,USA,FBL,Women,United States of America,Football
Bronze Medal,3,2021-08-06,MEWIS K,MEWIS Kristie,W,USA,FBL,Women,United States of America,Football
Bronze Medal,3,2021-08-06,O'HARA K,O'HARA Kelley,W,USA,FBL,Women,United States of America,Football
Bronze Medal,3,2021-08-06,HORAN L,HORAN Lindsey,W,USA,FBL,Women,United States of America,Football
Bronze Medal,3,2021-08-06,WILLIAMS L,WILLIAMS Lynn,W,USA,FBL,Women,United States of America,Football
Bronze Medal,3,2021-08-06,RAPINOE M,RAPINOE Megan,W,USA,FBL,Women,United States of America,Football
Bronze Medal,3,2021-08-06,LAVELLE R,LAVELLE Rose,W,USA,FBL,Women,United States of America,Football
Bronze Medal,3,2021-08-06,SAUERBRUNN B,SAUERBRUNN Becky,W,USA,FBL,Women,United States of America,Football
Bronze Medal,3,2021-08-06,MEWIS S,MEWIS Samantha,W,USA,FBL,Women,United States of America,Football
Bronze Medal,3,2021-08-06,DAVIDSON T,DAVIDSON Tierna,W,USA,FBL,Women,United States of America,Football
Bronze Medal,3,2021-08-06,HEATH T,HEATH Tobin,W,USA,FBL,Women,United States of America,Football
Gold Medal,1,2021-08-06,MATLA F,MATLA Frederique,W,NED,HOC,Women,Netherlands,Hockey
Gold Medal,1,2021-08-06,NUNNINK LM,NUNNINK Laura Maria,W,NED,HOC,Women,Netherlands,Hockey
Gold Medal,1,2021-08-06,PHENINCKX M,PHENINCKX Malou,W,NED,HOC,Women,Netherlands,Hockey
Gold Medal,1,2021-08-06,SANDERS P,SANDERS Pien,W,NED,HOC,Women,Netherlands,Hockey
Gold Medal,1,2021-08-06,STAM LLJ,STAM Lauren Lara Jeanette,W,NED,HOC,Women,Netherlands,Hockey
Gold Medal,1,2021-08-06,van GEFFEN M,van GEFFEN Margot,W,NED,HOC,Women,Netherlands,Hockey
Gold Medal,1,2021-08-06,van MAASAKKER C,van MAASAKKER Caia Jacqueline,W,NED,HOC,Women,Netherlands,Hockey
Gold Medal,1,2021-08-06,VERSCHOOR M,VERSCHOOR Maria,W,NED,HOC,Women,Netherlands,Hockey
